MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_UNINA_2__A-22__bin.12	MASTER_WP4_UNINA_2	A-22	EUK4921	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_norvegensis	7595341	1153	9527	68.3	0.4	0.3532
MASTER_WP4_UNINA_2__B-22__bin.3	MASTER_WP4_UNINA_2	B-22	EUK10000031	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus	8791878	989	21994	78.7	0.1	0.3941
MASTER_WP4_UNINA_2__D-22__bin.10	MASTER_WP4_UNINA_2	D-22	EUK10000038	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_unispora	11807198	400	56490	97.5	1.5	0.3221
MASTER_WP4_UNINA_2__D-22__bin.17	MASTER_WP4_UNINA_2	D-22	EUK10000031	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus	8338182	1021	21439	72.6	0.4	0.3931
MASTER_WP4_UNINA_2__F-22__bin.15	MASTER_WP4_UNINA_2	F-22	EUK10000031	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_marxianus	9704985	1000	14035	89.1	0.0	0.3958
MASTER_WP4_UNINA_2__F-22__bin.7	MASTER_WP4_UNINA_2	F-22	EUK10000038	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_unispora	11829593	366	62567	97.5	1.4	0.3223
MASTER_WP4_UNINA_2__H-29__bin.1	MASTER_WP4_UNINA_2	H-29	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11562056	345	63943	97.7	0.1	0.3628
MASTER_WP4_UNINA_2__H-30__bin.4	MASTER_WP4_UNINA_2	H-30	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11621943	316	74752	97.5	0.1	0.3626
MASTER_WP4_UNINA_2__I-29__bin.11	MASTER_WP4_UNINA_2	I-29	EUK4959_1	kSGB	Species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii_group_1	11401953	2860	4549	68.6	2.3	0.3602
MASTER_WP4_UNINA_2__J-18__bin.20	MASTER_WP4_UNINA_2	J-18	EUK10000053	uSGB	Family	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	unknown	unknown	20842336	279	122201	90.3	0.3	0.5168
MASTER_WP4_UNINA_2__N-22__bin.19	MASTER_WP4_UNINA_2	N-22	EUK10000028	uSGB	Other	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	unknown	unknown	unknown	8313624	2016	4491	64.6	0.3	0.3639
MASTER_WP4_UNINA_2__N-22__bin.20	MASTER_WP4_UNINA_2	N-22	EUK10000009	uSGB	Family	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	unknown	unknown	8553081	42	307417	91.4	0.1	0.4877
