MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
LiZ_2018__SRS2920550__bin.25	LiZ_2018	SRS2920550	SGB7729	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia_coagulans	2830598	338	13577	94.33848635	2.641165756	0.476717994
LiZ_2018__SRS2920551__bin.1	LiZ_2018	SRS2920551	SGB7729	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia_coagulans	2816438	317	15311	95.84037092	1.421415561	0.478428426
LiZ_2018__SRS2920555__bin.13	LiZ_2018	SRS2920555	SGB7729	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia_coagulans	2818811	445	9437	97.09680658	3.97996357	0.477801456
LiZ_2018__SRS2920550__bin.23	LiZ_2018	SRS2920550	SGB7835	kSGB	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_gallinarum	2473873	280	12453	83.62068966	0.862068966	0.337086019
LiZ_2018__SRS2920550__bin.17	LiZ_2018	SRS2920550	SGB94350	ufSGB	Other	Bacteria	Firmicutes	CFGB59155	OFGB59155	FGB59155	GGB70020	GGB70020_SGB94350	3202509	320	14436	92.82945736	0.258397933	0.457192158
LiZ_2018__SRS2920551__bin.24	LiZ_2018	SRS2920551	SGB94350	ufSGB	Other	Bacteria	Firmicutes	CFGB59155	OFGB59155	FGB59155	GGB70020	GGB70020_SGB94350	3228102	365	13246	97.6744186	0.258397933	0.456865985
LiZ_2018__SRS2920555__bin.19	LiZ_2018	SRS2920555	SGB94350	ufSGB	Other	Bacteria	Firmicutes	CFGB59155	OFGB59155	FGB59155	GGB70020	GGB70020_SGB94350	3060793	496	8012	93.15245478	0.645994832	0.458346252
LiZ_2018__SRS2920550__bin.18	LiZ_2018	SRS2920550	SGB93153	ufSGB	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_SGB93153	2130024	445	5966	84.89425277	4.688552189	0.716128081
LiZ_2018__SRS2920551__bin.18	LiZ_2018	SRS2920551	SGB93153	ufSGB	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_SGB93153	2232360	470	6044	84.24523008	3.301412392	0.717195255
LiZ_2018__SRS2920555__bin.21	LiZ_2018	SRS2920555	SGB93153	ufSGB	Genus	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_SGB93153	2030218	490	4827	77.48877666	2.615440115	0.716623042
